q_bits,n,m,rho,mode,N,Q_bits,rate,entropy_target,delta_entropy,volume_grid_t,delta_volume_grid
64,1024,1,0.5,folded,1024,64,0.5,0.4990234375,0.48341084695460224,495,0.4833984375
64,1024,1,0.5,interleaved,1024,64,0.5,0.4990234375,0.48341084695460224,495,0.4833984375
64,1024,1,0.25,folded,1024,64,0.25,0.7490234375,0.7360124336649649,753,0.7353515625
64,1024,1,0.25,interleaved,1024,64,0.25,0.7490234375,0.7360124336649649,753,0.7353515625
64,1024,1,0.125,folded,1024,64,0.125,0.8740234375,0.8651061167968959,885,0.8642578125
64,1024,1,0.125,interleaved,1024,64,0.125,0.8740234375,0.8651061167968959,885,0.8642578125
64,1024,1,0.0625,folded,1024,64,0.0625,0.9365234375,0.9308559157362345,953,0.9306640625
64,1024,1,0.0625,interleaved,1024,64,0.0625,0.9365234375,0.9308559157362345,953,0.9306640625
64,1024,2,0.5,folded,512,128,0.5,0.4990234375,0.49121267822426523,251,0.490234375
64,1024,2,0.5,interleaved,1024,128,0.5,0.49951171875,0.49170077145859525,503,0.4912109375
64,1024,2,0.25,folded,512,128,0.25,0.7490234375,0.7425952753189359,380,0.7421875
64,1024,2,0.25,interleaved,1024,128,0.25,0.74951171875,0.7430894652400885,760,0.7421875
64,1024,2,0.125,folded,512,128,0.125,0.8740234375,0.8696611982935668,445,0.869140625
64,1024,2,0.125,interleaved,1024,128,0.125,0.87451171875,0.8701601658922528,891,0.8701171875
64,1024,2,0.0625,folded,512,128,0.0625,0.9365234375,0.933776002661281,478,0.93359375
64,1024,2,0.0625,interleaved,1024,128,0.0625,0.93701171875,0.9342793186503141,956,0.93359375
64,1024,4,0.5,folded,256,256,0.5,0.4990234375,0.495117456197588,126,0.4921875
64,1024,4,0.5,interleaved,1024,256,0.5,0.499755859375,0.495849803511356,507,0.4951171875
64,1024,4,0.25,folded,256,256,0.25,0.7490234375,0.7458288179645337,190,0.7421875
64,1024,4,0.25,interleaved,1024,256,0.25,0.749755859375,0.7465657183803911,764,0.74609375
64,1024,4,0.125,folded,256,256,0.125,0.8740234375,0.8718660222160719,223,0.87109375
64,1024,4,0.125,interleaved,1024,256,0.125,0.874755859375,0.8726064594462716,893,0.8720703125
64,1024,4,0.0625,folded,256,256,0.0625,0.9365234375,0.9351706065945161,239,0.93359375
64,1024,4,0.0625,interleaved,1024,256,0.0625,0.937255859375,0.9359142392817921,958,0.935546875
64,1024,8,0.5,folded,128,512,0.5,0.4990234375,0.4970703608688002,63,0.4921875
64,1024,8,0.5,interleaved,1024,512,0.5,0.4998779296875,0.49792482895603823,509,0.4970703125
64,1024,8,0.25,folded,128,512,0.25,0.7490234375,0.7474310067388725,95,0.7421875
64,1024,8,0.25,interleaved,1024,512,0.25,0.7498779296875,0.748288124755137,766,0.748046875
64,1024,8,0.125,folded,128,512,0.125,0.8740234375,0.8729506049781209,111,0.8671875
64,1024,8,0.125,interleaved,1024,512,0.125,0.8748779296875,0.8738097724282753,894,0.873046875
64,1024,8,0.0625,folded,128,512,0.0625,0.9365234375,0.9358521585065948,119,0.9296875
64,1024,8,0.0625,interleaved,1024,512,0.0625,0.9373779296875,0.9367131708398687,959,0.9365234375
64,65536,1,0.5,folded,65536,64,0.5,0.4999847412109375,0.48437075587501005,31743,0.4843597412109375
64,65536,1,0.5,interleaved,65536,64,0.5,0.4999847412109375,0.48437075587501005,31743,0.4843597412109375
64,65536,1,0.25,folded,65536,64,0.25,0.7499847412109375,0.7369965396757034,48299,0.7369842529296875
64,65536,1,0.25,interleaved,65536,64,0.25,0.7499847412109375,0.7369965396757034,48299,0.7369842529296875
64,65536,1,0.125,folded,65536,64,0.125,0.8749847412109375,0.8661095533636478,56761,0.8661041259765625
64,65536,1,0.125,interleaved,65536,64,0.125,0.8749847412109375,0.8661095533636478,56761,0.8661041259765625
64,65536,1,0.0625,folded,65536,64,0.0625,0.9374847412109375,0.9318772614813919,61071,0.9318695068359375
64,65536,1,0.0625,interleaved,65536,64,0.0625,0.9374847412109375,0.9318772614813919,61071,0.9318695068359375
64,65536,2,0.5,folded,32768,128,0.5,0.4999847412109375,0.4921736220209826,16127,0.492156982421875
64,65536,2,0.5,interleaved,65536,128,0.5,0.49999237060546875,0.4921812487255522,32255,0.4921722412109375
64,65536,2,0.25,folded,32768,128,0.25,0.7499847412109375,0.7435682256429862,24365,0.743560791015625
64,65536,2,0.25,interleaved,65536,128,0.25,0.7499923706054688,0.7435759476973006,48731,0.7435760498046875
64,65536,2,0.125,folded,32768,128,0.125,0.8749847412109375,0.8706435649579332,28529,0.870635986328125
