p,n,k,mode,m,radius_label,agreement_required,center_type,smooth_best_count,random_mean_best_count,random_max_best_count,smooth_over_random_mean,smooth_over_random_max,random_domains
17,4,1,scalar,1,agreement-k+1,2,monomial,2,1.0,1,2.0,2.0,2
17,4,1,scalar,1,agreement-k+1,2,binomial,2,1.0,1,2.0,2.0,2
17,8,2,scalar,1,agreement-k+2,4,binomial,2,1.0,1,2.0,2.0,2
29,4,1,scalar,1,agreement-k+1,2,binomial,2,1.0,1,2.0,2.0,2
41,4,1,scalar,1,agreement-k+1,2,monomial,2,1.0,1,2.0,2.0,2
41,4,1,scalar,1,agreement-k+1,2,binomial,2,1.0,1,2.0,2.0,2
41,8,2,scalar,1,agreement-k+2,4,binomial,2,1.0,1,2.0,2.0,2
17,8,2,scalar,1,agreement-k+2,4,monomial,2,1.5,2,1.3333333333333333,1.0,2
29,4,1,scalar,1,agreement-k+1,2,monomial,2,1.5,2,1.3333333333333333,1.0,2
41,5,1,scalar,1,agreement-k+1,2,binomial,2,1.5,2,1.3333333333333333,1.0,2
29,7,1,scalar,1,agreement-k+1,2,binomial,3,2.5,3,1.2,1.0,2
17,8,4,scalar,1,agreement-k,4,monomial,70,70.0,70,1.0,1.0,2
17,8,4,scalar,1,agreement-k,4,binomial,70,70.0,70,1.0,1.0,2
41,8,4,scalar,1,agreement-k,4,monomial,70,70.0,70,1.0,1.0,2
41,8,4,scalar,1,agreement-k,4,binomial,70,70.0,70,1.0,1.0,2
29,7,3,scalar,1,agreement-k,3,monomial,35,35.0,35,1.0,1.0,2
29,7,3,scalar,1,agreement-k,3,binomial,35,35.0,35,1.0,1.0,2
17,8,2,scalar,1,agreement-k,2,monomial,28,28.0,28,1.0,1.0,2
17,8,2,scalar,1,agreement-k,2,binomial,28,28.0,28,1.0,1.0,2
41,8,2,scalar,1,agreement-k,2,monomial,28,28.0,28,1.0,1.0,2
41,8,2,scalar,1,agreement-k,2,binomial,28,28.0,28,1.0,1.0,2
41,5,2,scalar,1,agreement-k,2,monomial,10,10.0,10,1.0,1.0,2
41,5,2,scalar,1,agreement-k,2,binomial,10,10.0,10,1.0,1.0,2
29,7,1,scalar,1,agreement-k,1,monomial,7,7.0,7,1.0,1.0,2
29,7,1,scalar,1,agreement-k,1,binomial,7,7.0,7,1.0,1.0,2
17,4,2,scalar,1,agreement-k,2,monomial,6,6.0,6,1.0,1.0,2
17,4,2,scalar,1,agreement-k,2,binomial,6,6.0,6,1.0,1.0,2
29,4,2,scalar,1,agreement-k,2,monomial,6,6.0,6,1.0,1.0,2
29,4,2,scalar,1,agreement-k,2,binomial,6,6.0,6,1.0,1.0,2
41,4,2,scalar,1,agreement-k,2,monomial,6,6.0,6,1.0,1.0,2
41,4,2,scalar,1,agreement-k,2,binomial,6,6.0,6,1.0,1.0,2
41,5,1,scalar,1,agreement-k,1,monomial,5,5.0,5,1.0,1.0,2
41,5,1,scalar,1,agreement-k,1,binomial,5,5.0,5,1.0,1.0,2
17,4,1,scalar,1,agreement-k,1,monomial,4,4.0,4,1.0,1.0,2
17,4,1,scalar,1,agreement-k,1,binomial,4,4.0,4,1.0,1.0,2
17,8,2,scalar,1,agreement-k+1,3,binomial,4,4.0,4,1.0,1.0,2
17,8,2,folded,2,agreement-k,1,monomial,4,4.0,4,1.0,1.0,2
