p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
5,2,1,0.5,1,scalar,2,5,5,5,0,1,5,0.2928932188134524,1.0,0.8,"(0, 0)",ok
5,2,1,0.5,1,scalar,2,5,5,5,1,2,20,0.2928932188134524,1.0,0.8,"(0, 1)",ok
5,2,1,0.5,1,scalar,2,5,5,5,2,5,25,0.2928932188134524,1.0,0.8,"(0, 0)",ok
5,2,1,0.5,2,folded,1,5,25,5,0,1,5,0.2928932188134524,1.0,0.96,"((0, 0),)",ok
5,2,1,0.5,2,folded,1,5,25,5,1,5,5,0.2928932188134524,1.0,0.96,"((0, 0),)",ok
5,2,1,0.5,2,interleaved,2,25,25,25,0,1,25,0.2928932188134524,0.5,0.5426770193452778,"((0, 0), (0, 0))",ok
5,2,1,0.5,2,interleaved,2,25,25,25,1,2,600,0.2928932188134524,0.5,0.5426770193452778,"((0, 0), (0, 1))",ok
5,2,1,0.5,2,interleaved,2,25,25,25,2,25,625,0.2928932188134524,0.5,0.5426770193452778,"((0, 0), (0, 0))",ok
5,4,1,0.25,1,scalar,4,5,5,5,0,1,5,0.5,1.0,0.8,"(0, 0, 0, 0)",ok
5,4,1,0.25,1,scalar,4,5,5,5,1,1,85,0.5,1.0,0.8,"(0, 0, 0, 0)",ok
5,4,1,0.25,1,scalar,4,5,5,5,2,2,60,0.5,1.0,0.8,"(0, 0, 1, 1)",ok
5,4,1,0.25,1,scalar,4,5,5,5,3,4,120,0.5,1.0,0.8,"(0, 1, 2, 3)",ok
5,4,1,0.25,1,scalar,4,5,5,5,4,5,625,0.5,1.0,0.8,"(0, 0, 0, 0)",ok
5,4,1,0.25,2,folded,2,5,25,5,0,1,5,0.5,1.0,0.96,"((0, 0), (0, 0))",ok
5,4,1,0.25,2,folded,2,5,25,5,1,2,20,0.5,1.0,0.96,"((0, 0), (1, 1))",ok
5,4,1,0.25,2,folded,2,5,25,5,2,5,25,0.5,1.0,0.96,"((0, 0), (0, 0))",ok
5,4,1,0.25,2,interleaved,4,25,25,25,,,,0.5,0.75,0.6919206467216927,,"refused: search would require 9765625 center/codeword distance checks, exceeding max_operations=5000000"
