q_bits,rho,M,r,ell,n,k,s,center,lower_bound,radius,delta_entropy,log2_list_lower_bound,log2_budget,log2_margin,M_smooth_B,n_smooth_B,below_capacity,beats_budget,prime_found,p
256,0.0625,721,46,16,11536,721,736,x^736,"binom(721,46)",0.9361997226074896,0.936206137233422,242.79133880131283,128.0,114.79133880131283,103,103,True,True,True,57896044618658097711785492504343953926634992332820282019728792003956565074481
192,0.0625,529,34,16,8464,529,544,x^544,"binom(529,34)",0.9357277882797732,0.9357471918673516,178.24376758475069,64.0,114.24376758475069,23,23,True,True,True,3138550867693340381917894711603833208051177722232018053889
256,0.0625,705,45,16,11280,705,720,x^720,"binom(705,45)",0.9361702127659575,0.9362071360144343,237.4101803626401,128.0,109.41018036264009,47,47,True,True,True,57896044618658097711785492504343953926634992332820282019728792003956565227361
256,0.0625,705,45,32,22560,1410,1440,x^1440,"binom(705,45)",0.9361702127659575,0.9361846322529319,237.4101803626401,128.0,109.41018036264009,47,47,True,True,True,57896044618658097711785492504343953926634992332820282019728792003956565227361
256,0.0625,705,45,64,45120,2820,2880,x^2880,"binom(705,45)",0.9361702127659575,0.9361733803903708,237.4101803626401,128.0,109.41018036264009,47,47,True,True,True,57896044618658097711785492504343953926634992332820282019728792003956568137601
192,0.0625,513,33,16,8208,513,528,x^528,"binom(513,33)",0.935672514619883,0.9357484454002285,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017287233
192,0.0625,513,33,32,16416,1026,1056,x^1056,"binom(513,33)",0.935672514619883,0.9357277229605838,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017287233
192,0.0625,513,33,64,32832,2052,2112,x^2112,"binom(513,33)",0.935672514619883,0.9357173617612952,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017287233
192,0.0625,513,33,128,65664,4104,4224,x^4224,"binom(513,33)",0.935672514619883,0.9357121811667832,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017517057
192,0.0625,513,33,256,131328,8208,8448,x^8448,"binom(513,33)",0.935672514619883,0.9357095908708103,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017517057
192,0.0625,513,33,512,262656,16416,16896,x^16896,"binom(513,33)",0.935672514619883,0.9357082957231445,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232017517057
192,0.0625,513,33,1024,525312,32832,33792,x^33792,"binom(513,33)",0.935672514619883,0.9357076481493918,172.86796909131192,64.0,108.86796909131192,19,19,True,True,True,3138550867693340381917894711603833208051177722232069785601
128,0.0625,322,21,8,2576,161,168,x^168,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715884164177
128,0.0625,322,21,16,5152,322,336,x^336,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715884553153
128,0.0625,322,21,32,10304,644,672,x^672,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715884553153
128,0.0625,322,21,64,20608,1288,1344,x^1344,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715885758721
128,0.0625,322,21,128,41216,2576,2688,x^2688,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715885758721
128,0.0625,322,21,256,82432,5152,5376,x^5376,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715888849921
128,0.0625,322,21,512,164864,10304,10752,x^10752,"binom(322,21)",0.9347826086956522,0.934782682580009,108.51803739763795,0.0,108.51803739763795,23,23,True,True,True,170141183460469231731687303715888849921
128,0.0625,321,21,16,5136,321,336,x^336,"binom(321,21)",0.9345794392523364,0.934782682580009,108.42074019628278,0.0,108.42074019628278,107,107,True,True,True,170141183460469231731687303715884340321
256,0.25,225,57,4,900,225,228,x^228,"binom(225,57)",0.7466666666666666,0.7473703230494897,179.68295852982317,128.0,51.68295852982317,5,5,True,True,True,57896044618658097711785492504343953926634992332820282019728792003956564863701
