p,n,k,rho,mode,m,N,domain_type,domain_label,radius_label,radius,relative_radius,agreement_required,subset_count,generic_expected,generic_ratio,boundary_ratio,boundary_case,center_type,center_parameters,count,duplicate_parameter_count,all_parameters_sample,method
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=1,2,8,exponent=1 | exponent=3 | exponent=5 | exponent=7 | exponent=9,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k,1,0.5,1,2,2,0.5,0.5,True,monomial,exponent=0,1,8,exponent=0 | exponent=2 | exponent=4 | exponent=6 | exponent=8,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=1,2,6,a=0;b=1;lambda=1 | a=0;b=3;lambda=1 | a=1;b=2;lambda=1 | a=1;b=4;lambda=1 | a=2;b=3;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=2,2,3,a=0;b=1;lambda=2 | a=0;b=3;lambda=2 | a=2;b=3;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=3,2,3,a=0;b=1;lambda=3 | a=0;b=3;lambda=3 | a=2;b=3;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=1,2,2,exponent=1 | exponent=9,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=3,2,2,exponent=3 | exponent=11,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=5,2,2,exponent=5 | exponent=13,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=1,2,1,a=0;b=1;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=2,2,1,a=0;b=1;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=3,2,1,a=0;b=1;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=1,2,4,exponent=1 | exponent=5 | exponent=9 | exponent=13,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=2,2,4,exponent=2 | exponent=6 | exponent=10 | exponent=14,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=3,2,4,exponent=3 | exponent=7 | exponent=11 | exponent=15,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=1,2,2,a=0;b=1;lambda=1 | a=1;b=4;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=2,2,1,a=0;b=1;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=3,2,1,a=0;b=1;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=1,2,1,exponent=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=10,2,1,exponent=10,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,monomial,exponent=11,2,1,exponent=11,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=1,2,1,a=0;b=1;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=2,2,1,a=0;b=1;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k,1,0.5,1,2,2,1.0,1.0,True,binomial,a=0;b=1;lambda=3,2,1,a=0;b=1;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=0,1,8,exponent=0 | exponent=2 | exponent=4 | exponent=6 | exponent=8,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,monomial,exponent=1,0,8,exponent=1 | exponent=3 | exponent=5 | exponent=7 | exponent=9,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=1,1,3,a=0;b=2;lambda=1 | a=0;b=4;lambda=1 | a=2;b=4;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=2,1,3,a=0;b=2;lambda=2 | a=0;b=4;lambda=2 | a=2;b=4;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,smooth,subgroup,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=3,1,3,a=0;b=2;lambda=3 | a=0;b=4;lambda=3 | a=2;b=4;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=0,1,2,exponent=0 | exponent=8,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=2,1,2,exponent=2 | exponent=10,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=4,1,2,exponent=4 | exponent=12,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=1,1,1,a=0;b=2;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=2,1,1,a=0;b=2;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,coset,shift=2,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=2;lambda=3,1,1,a=0;b=2;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=0,1,4,exponent=0 | exponent=4 | exponent=8 | exponent=12,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,monomial,exponent=1,0,4,exponent=1 | exponent=5 | exponent=9 | exponent=13,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,monomial,exponent=2,0,4,exponent=2 | exponent=6 | exponent=10 | exponent=14,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=4;lambda=1,1,1,a=0;b=4;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=4;lambda=2,1,1,a=0;b=4;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=0,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,binomial,a=0;b=4;lambda=3,1,1,a=0;b=4;lambda=3,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=0,1,1,exponent=0,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,1.0,1.0,False,monomial,exponent=8,1,1,exponent=8,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,monomial,exponent=1,0,1,exponent=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,binomial,a=0;b=1;lambda=1,0,1,a=0;b=1;lambda=1,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,binomial,a=0;b=1;lambda=2,0,1,a=0;b=1;lambda=2,subset_interpolation
17,2,1,0.5,scalar,1,2,random,seed=1,agreement-k+1,0,0.0,2,1,0.058823529411764705,0.0,0.0,False,binomial,a=0;b=1;lambda=3,0,1,a=0;b=1;lambda=3,subset_interpolation
17,2,1,0.5,folded,2,1,smooth,subgroup,agreement-k,0,0.0,1,1,0.058823529411764705,1.0,1.0,True,monomial,exponent=0,1,8,exponent=0 | exponent=2 | exponent=4 | exponent=6 | exponent=8,folded_bruteforce
17,2,1,0.5,folded,2,1,smooth,subgroup,agreement-k,0,0.0,1,1,0.058823529411764705,0.0,0.0,True,monomial,exponent=1,0,8,exponent=1 | exponent=3 | exponent=5 | exponent=7 | exponent=9,folded_bruteforce
17,2,1,0.5,folded,2,1,smooth,subgroup,agreement-k,0,0.0,1,1,0.058823529411764705,1.0,1.0,True,binomial,a=0;b=2;lambda=1,1,3,a=0;b=2;lambda=1 | a=0;b=4;lambda=1 | a=2;b=4;lambda=1,folded_bruteforce
17,2,1,0.5,folded,2,1,smooth,subgroup,agreement-k,0,0.0,1,1,0.058823529411764705,1.0,1.0,True,binomial,a=0;b=2;lambda=2,1,3,a=0;b=2;lambda=2 | a=0;b=4;lambda=2 | a=2;b=4;lambda=2,folded_bruteforce
