p,n,k,radius_label,agreement_required,center_type,smooth_best_count,random_mean_best_count,random_max_best_count,smooth_over_random_mean,smooth_over_random_max,random_domains
193,8,2,agreement-k+1,3,trinomial,5,0.8,1,5.0,5.0,10
193,12,3,agreement-k+1,4,binomial,8,1.4,2,5.714285714285714,4.0,10
193,8,1,agreement-k+1,2,trinomial,4,1.0,1,4.0,4.0,10
97,6,3,agreement-k+1,4,monomial,3,1.0,1,3.0,3.0,10
97,6,3,agreement-k+1,4,binomial,3,1.0,1,3.0,3.0,10
97,6,3,agreement-k+1,4,shifted_binomial,3,1.0,1,3.0,3.0,10
97,6,3,agreement-k+1,4,trinomial,3,1.0,1,3.0,3.0,10
97,12,1,agreement-k+2,3,monomial,3,1.0,1,3.0,3.0,10
193,6,1,agreement-k+1,2,monomial,3,1.0,1,3.0,3.0,10
193,6,1,agreement-k+1,2,binomial,3,0.6,1,3.0,3.0,10
193,6,1,agreement-k+1,2,shifted_binomial,3,0.6,1,3.0,3.0,10
193,6,3,agreement-k+1,4,monomial,3,1.0,1,3.0,3.0,10
193,6,3,agreement-k+1,4,binomial,3,1.0,1,3.0,3.0,10
193,6,3,agreement-k+1,4,shifted_binomial,3,1.0,1,3.0,3.0,10
193,6,3,agreement-k+1,4,trinomial,3,1.0,1,3.0,3.0,10
193,8,2,agreement-k+1,3,binomial,3,1.0,1,3.0,3.0,10
193,8,2,agreement-k+1,3,shifted_binomial,3,1.0,1,3.0,3.0,10
193,12,1,agreement-k+2,3,monomial,3,1.0,1,3.0,3.0,10
193,12,1,agreement-k+2,3,binomial,3,0.1,1,3.0,3.0,10
193,12,1,agreement-k+1,2,trinomial,5,1.1,2,4.545454545454545,2.5,10
97,8,2,agreement-k+1,3,trinomial,5,1.4,2,3.5714285714285716,2.5,10
193,12,3,agreement-k+1,4,trinomial,5,1.5,2,3.3333333333333335,2.5,10
193,12,1,agreement-k+1,2,monomial,6,1.4,3,4.285714285714286,2.0,10
193,12,1,agreement-k+1,2,binomial,6,1.4,3,4.285714285714286,2.0,10
193,12,1,agreement-k+1,2,shifted_binomial,6,1.4,3,4.285714285714286,2.0,10
193,8,1,agreement-k+1,2,binomial,4,1.0,2,4.0,2.0,10
193,8,1,agreement-k+1,2,shifted_binomial,4,1.0,2,4.0,2.0,10
97,8,1,agreement-k+1,2,trinomial,4,1.1,2,3.6363636363636362,2.0,10
193,8,1,agreement-k+1,2,monomial,4,1.1,2,3.6363636363636362,2.0,10
193,12,3,agreement-k+1,4,shifted_binomial,4,1.3,2,3.0769230769230766,2.0,10
193,16,2,agreement-k+1,3,binomial,4,1.3,2,3.0769230769230766,2.0,10
97,8,1,agreement-k+1,2,monomial,4,1.4,2,2.857142857142857,2.0,10
97,8,1,agreement-k+1,2,binomial,4,1.4,2,2.857142857142857,2.0,10
97,8,1,agreement-k+1,2,shifted_binomial,4,1.4,2,2.857142857142857,2.0,10
97,12,1,agreement-k+1,2,monomial,6,2.4,3,2.5,2.0,10
97,12,1,agreement-k+1,2,binomial,6,2.5,3,2.4,2.0,10
97,12,1,agreement-k+1,2,shifted_binomial,6,2.5,3,2.4,2.0,10
97,6,1,agreement-k+1,2,trinomial,2,0.6,1,2.0,2.0,10
193,6,1,agreement-k+1,2,trinomial,2,0.7,1,2.0,2.0,10
193,12,1,agreement-k+2,3,shifted_binomial,2,0.0,0,2.0,2.0,10
97,4,1,agreement-k+1,2,monomial,2,1.0,1,2.0,2.0,10
97,4,1,agreement-k+1,2,binomial,2,0.4,1,2.0,2.0,10
97,4,1,agreement-k+1,2,shifted_binomial,2,0.4,1,2.0,2.0,10
97,4,1,agreement-k+1,2,trinomial,2,0.3,1,2.0,2.0,10
97,6,1,agreement-k+2,3,monomial,2,1.0,1,2.0,2.0,10
97,6,1,agreement-k+2,3,binomial,2,0.1,1,2.0,2.0,10
97,6,1,agreement-k+2,3,shifted_binomial,2,0.1,1,2.0,2.0,10
97,8,1,agreement-k+2,3,monomial,2,1.0,1,2.0,2.0,10
97,8,1,agreement-k+2,3,binomial,2,0.1,1,2.0,2.0,10
97,8,1,agreement-k+2,3,shifted_binomial,2,0.1,1,2.0,2.0,10
97,8,1,agreement-k+3,4,monomial,2,1.0,1,2.0,2.0,10
97,8,1,agreement-k+3,4,binomial,2,0.0,0,2.0,2.0,10
97,8,1,agreement-k+3,4,shifted_binomial,2,0.0,0,2.0,2.0,10
97,8,2,agreement-k+2,4,monomial,2,1.0,1,2.0,2.0,10
97,8,2,agreement-k+2,4,binomial,2,1.0,1,2.0,2.0,10
97,8,2,agreement-k+2,4,shifted_binomial,2,1.0,1,2.0,2.0,10
97,8,2,agreement-k+2,4,trinomial,2,0.0,0,2.0,2.0,10
193,4,1,agreement-k+1,2,monomial,2,1.0,1,2.0,2.0,10
193,4,1,agreement-k+1,2,binomial,2,0.2,1,2.0,2.0,10
193,4,1,agreement-k+1,2,shifted_binomial,2,0.2,1,2.0,2.0,10
193,4,1,agreement-k+1,2,trinomial,2,0.2,1,2.0,2.0,10
193,6,1,agreement-k+2,3,monomial,2,1.0,1,2.0,2.0,10
193,6,1,agreement-k+2,3,binomial,2,0.0,0,2.0,2.0,10
193,6,1,agreement-k+2,3,shifted_binomial,2,0.0,0,2.0,2.0,10
193,8,1,agreement-k+2,3,monomial,2,1.0,1,2.0,2.0,10
193,8,1,agreement-k+2,3,binomial,2,0.0,0,2.0,2.0,10
193,8,1,agreement-k+2,3,shifted_binomial,2,0.0,0,2.0,2.0,10
193,8,1,agreement-k+3,4,monomial,2,1.0,1,2.0,2.0,10
193,8,1,agreement-k+3,4,binomial,2,0.0,0,2.0,2.0,10
193,8,1,agreement-k+3,4,shifted_binomial,2,0.0,0,2.0,2.0,10
193,8,2,agreement-k+1,3,monomial,2,1.0,1,2.0,2.0,10
193,8,2,agreement-k+2,4,monomial,2,1.0,1,2.0,2.0,10
193,8,2,agreement-k+2,4,binomial,2,1.0,1,2.0,2.0,10
193,8,2,agreement-k+2,4,shifted_binomial,2,1.0,1,2.0,2.0,10
