pattern_signature,occurrences,max_count,max_generic_ratio,p_values,n_values,domain_types,best_parameters
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,42,4,3.0,97 193,6 8 12 16,coset smooth,a=0;b=4;lambda=1
exponent_mod_n=4;pattern_center_type=monomial;pattern_domain_group=smooth_coset,39,3,3.0,97 193,6 8 12 16,coset smooth,exponent=4
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,21,8,6.0,97 193,6 8 12 16,coset smooth,a=2;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,21,6,3.0,97 193,6 8 12 16,coset smooth,a=1;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=2;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,20,7,6.0,97 193,6 8 12 16,coset smooth,a=0;b=2;c=4;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=1;b_mod_n=1;c_minus_b_mod_n=3;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,20,6,3.0,97 193,6 8 12 16,coset smooth,a=0;b=1;c=4;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=5;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,20,2,2.0,97 193,8,coset smooth,c=1;a=0;b=4;lambda=1
exponent_mod_n=2;pattern_center_type=monomial;pattern_domain_group=smooth_coset,16,6,6.0,97 193,4 6 8 12,coset smooth,exponent=2
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,16,6,6.0,97 193,4 6 8 12,coset smooth,a=0;b=2;lambda=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,15,4,4.0,97 193,6 12,coset smooth,a=0;b=3;lambda=1
exponent_mod_n=3;pattern_center_type=monomial;pattern_domain_group=smooth_coset,14,4,4.0,97 193,6 12,coset smooth,exponent=3
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,12,5,3.0,97 193,12,coset smooth,c=1;a=0;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=1;b_mod_n=2;c_minus_b_mod_n=2;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,9,4,3.0,97 193,6 12 16,coset smooth,a=1;b=2;c=4;lambda1=1;lambda2=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,8,6,6.0,97 193,12,coset smooth,c=1;a=2;b=4;lambda=1
a_mod_n=2;b_minus_a_mod_n=1;b_mod_n=3;c_minus_b_mod_n=1;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,8,5,5.0,97 193,6 8 12,smooth,a=2;b=3;c=4;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=3;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,8,3,3.0,97 193,6,coset smooth,c=1;a=0;b=4;lambda=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;c_minus_b_mod_n=3;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,8,3,3.0,97 193,6,coset smooth,c=1;a=2;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;c_minus_b_mod_n=4;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,8,2,2.0,97 193,6,coset smooth,c=1;a=0;b=3;lambda=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;c_minus_b_mod_n=5;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,8,2,2.0,97 193,8,coset smooth,c=1;a=1;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;c_minus_b_mod_n=10;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,6,4,4.0,97 193,12,coset smooth,c=1;a=0;b=3;lambda=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;c_minus_b_mod_n=3;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,5,3,3.0,97 193,6,coset smooth,c=1;a=1;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=1;b_mod_n=2;c_minus_b_mod_n=1;c_mod_n=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,5,3,3.0,97 193,8 12 16,smooth,a=1;b=2;c=3;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=11;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,6,6.0,97 193,12,coset smooth,c=1;a=0;b=2;lambda=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=7;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,4,4.0,97 193,8,coset smooth,c=1;a=0;b=2;lambda=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;c_minus_b_mod_n=5;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,4,4.0,97 193,8,coset smooth,c=1;a=2;b=4;lambda=1
a_mod_n=2;b_minus_a_mod_n=1;b_mod_n=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,4,4,3.0,97 193,8 16,smooth,a=2;b=3;lambda=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=5;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,3,3.0,97 193,6,coset smooth,c=1;a=0;b=2;lambda=1
a_mod_n=1;b_minus_a_mod_n=2;b_mod_n=3;c_minus_b_mod_n=1;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,4,3,3.0,97 193,8 12,smooth,a=1;b=3;c=4;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=1;c_mod_n=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,4,3,3.0,97 193,8 16,smooth,a=0;b=2;c=3;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=3;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,2,2.0,97 193,4,coset smooth,c=1;a=0;b=2;lambda=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=2;c_mod_n=0;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,4,2,2.0,97 193,4,coset smooth,a=0;b=2;c=4;lambda1=1;lambda2=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;c_minus_b_mod_n=13;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,4,3,0.6892857142857143,97 193,16,coset smooth,c=1;a=1;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,3,4,3.0,97 193,12,coset smooth,c=1;a=1;b=4;lambda=1
a_mod_n=3;b_minus_a_mod_n=1;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,3,3,2.0,97 193,12,coset smooth,c=1;a=3;b=4;lambda=1
a_mod_n=3;b_minus_a_mod_n=1;b_mod_n=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,3,2,2.0,97,12 16,coset,a=3;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=13;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,3,2,0.6892857142857143,97 193,16,coset smooth,c=1;a=0;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=2;b_mod_n=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,2,3,3.0,97 193,8,smooth,a=1;b=3;lambda=1
a_mod_n=1;b_minus_a_mod_n=2;b_mod_n=3;c_minus_b_mod_n=6;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,2,3,3.0,97 193,8,smooth,c=1;a=1;b=3;lambda=1
a_mod_n=0;b_minus_a_mod_n=1;b_mod_n=1;c_minus_b_mod_n=2;c_mod_n=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,2,3,3.0,97 193,8,smooth,a=0;b=1;c=3;lambda1=1;lambda2=1
a_mod_n=2;b_minus_a_mod_n=1;b_mod_n=3;c_minus_b_mod_n=6;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,2,3,3.0,97 193,8,smooth,c=1;a=2;b=3;lambda=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=0;lambda=1;pattern_center_type=binomial;pattern_domain_group=smooth_coset,2,2,2.0,97 193,4,coset,a=2;b=4;lambda=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=0;c_minus_b_mod_n=1;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,2,2,2.0,97 193,4,coset,c=1;a=2;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;c_minus_b_mod_n=1;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=smooth_coset,2,2,2.0,97,12,coset smooth,a=0;b=3;c=4;lambda1=1;lambda2=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;c_minus_b_mod_n=13;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=smooth_coset,1,3,0.5196428571428572,97,16,smooth,c=1;a=2;b=4;lambda=1
