pattern_signature,occurrences,max_count,max_generic_ratio,p_values,n_values,domain_types,best_parameters
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;lambda=1;pattern_center_type=binomial,69,4,3.0,97 193,6 8 12 16,coset random smooth,a=0;b=4;lambda=1
exponent_mod_n=4;pattern_center_type=monomial,62,3,3.0,97 193,6 8 12 16,coset random smooth,exponent=4
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;lambda=1;pattern_center_type=binomial,37,8,6.0,97 193,6 8 12 16,coset random smooth,a=2;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;c_minus_b_mod_n=2;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial,35,7,6.0,97 193,6 8 12 16,coset random smooth,a=0;b=2;c=4;lambda1=1;lambda2=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;lambda=1;pattern_center_type=binomial,30,6,3.0,97 193,6 8 12 16,coset random smooth,a=1;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=1;b_mod_n=1;c_minus_b_mod_n=3;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial,29,6,3.0,97 193,6 8 12 16,coset random smooth,a=0;b=1;c=4;lambda1=1;lambda2=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;lambda=1;pattern_center_type=binomial,28,4,4.0,97 193,6 8 12 16,coset random smooth,a=0;b=3;lambda=1
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial,28,5,3.0,97 193,12,coset random smooth,c=1;a=0;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=4;b_mod_n=4;c_minus_b_mod_n=5;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial,25,2,2.0,97 193,8,coset random smooth,c=1;a=0;b=4;lambda=1
exponent_mod_n=3;pattern_center_type=monomial,24,4,4.0,97 193,6 8 12 16,coset random smooth,exponent=3
a_mod_n=1;b_minus_a_mod_n=1;b_mod_n=2;c_minus_b_mod_n=2;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial,20,4,3.0,97 193,6 8 12 16,coset random smooth,a=1;b=2;c=4;lambda1=1;lambda2=1
exponent_mod_n=2;pattern_center_type=monomial,19,6,6.0,97 193,4 6 8 12,coset random smooth,exponent=2
a_mod_n=0;b_minus_a_mod_n=2;b_mod_n=2;lambda=1;pattern_center_type=binomial,19,6,6.0,97 193,4 6 8 12,coset random smooth,a=0;b=2;lambda=1
a_mod_n=2;b_minus_a_mod_n=1;b_mod_n=3;c_minus_b_mod_n=1;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial,18,5,5.0,97 193,6 8 12 16,random smooth,a=2;b=3;c=4;lambda1=1;lambda2=1
a_mod_n=2;b_minus_a_mod_n=2;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial,16,6,6.0,97 193,12,coset random smooth,c=1;a=2;b=4;lambda=1
a_mod_n=1;b_minus_a_mod_n=2;b_mod_n=3;c_minus_b_mod_n=1;c_mod_n=4;lambda1=1;lambda2=1;pattern_center_type=trinomial,12,3,3.0,97 193,8 12 16,random smooth,a=1;b=3;c=4;lambda1=1;lambda2=1
a_mod_n=3;b_minus_a_mod_n=1;b_mod_n=4;lambda=1;pattern_center_type=binomial,12,4,2.0,97 193,12 16,coset random,a=3;b=4;lambda=1
a_mod_n=0;b_minus_a_mod_n=3;b_mod_n=3;c_minus_b_mod_n=10;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial,11,4,4.0,97 193,12,coset random smooth,c=1;a=0;b=3;lambda=1
a_mod_n=2;b_minus_a_mod_n=1;b_mod_n=3;lambda=1;pattern_center_type=binomial,10,4,3.0,97 193,8 16,random smooth,a=2;b=3;lambda=1
a_mod_n=1;b_minus_a_mod_n=1;b_mod_n=2;c_minus_b_mod_n=1;c_mod_n=3;lambda1=1;lambda2=1;pattern_center_type=trinomial,10,4,3.0,97 193,8 12 16,random smooth,a=1;b=2;c=3;lambda1=1;lambda2=1
a_mod_n=1;b_minus_a_mod_n=3;b_mod_n=4;c_minus_b_mod_n=9;c_mod_n=1;lambda=1;pattern_center_type=shifted_binomial,10,4,3.0,97 193,12,coset random smooth,c=1;a=1;b=4;lambda=1
